urun_adi,fiyat
"Sony Pcg 8112M İ7 Q740 16.4'' Gt330m Ekran Kartlı NotebookEn Ucuz6.112,50 TLTEK FİYAT10+ alarm",6112.5
"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD - CX5400FM w/Warranty",6148.22901
Intel Computer NUC PC Mini 1 TB 8GB i5-8265U 8th gen workstation Desktop Win 10,6185.80413
Lenovo ThinkBook 15 G2 ITL Laptop i5-1135G7 2.4GHZ No SSD/OS *white spot*,6191.355
DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,6402.715049999999
Dell Latitude D620/D630 2GB Laptop Windows XP pro SP3 WiFi Serial port DVD/CD,6404.42301
Gaming Lot of 2 Dell Precision 5520 Laptops PARTS/REPAIR (NO FOWARDING ADDRESS),6404.42301
Lenovo ThinkPad L13 Yoga i5-10210U | 256GB SSD | 8GB RAM | Win 11 Pro B100,6404.42301
Lenovo ThinkPad T430 i5-3320 2.6GHz 8GB 320GB HDD Wind 10 Pro Webcam W/Office,6404.849999999999
"Hometech Alfa 620C N4020 4 GB 128 GB SSD UHD Graphics 14.1"" NotebookEn Ucuz6.449,55 TL+20 FİYATÜrüne Git (+20)50+ alarm",6495.07
"Hometech Alfa 620C N4020 4 GB 128 GB SSD UHD Graphics 14.1"" NotebookEn Ucuz6.495,07 TL+18 FİYATÜrüne Git (+18)50+ alarm",6495.07
"15.6"" Lenovo  ThinkPad Laptop: Intel i5! 8GB RAM! 256GB SSD! Zorin Core Edition",6570.94911
"Gateway 15.6"" HD IPS Laptop – Intel, 4GB RAM, 128GB SSD, Windows 11, Black",6617.91801
"Dell Latitude Touchscreen Laptop 11.6"" Pentium 8GB RAM 128GB SSD Win 11 Pro",6617.91801
"15.6"" DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!",6829.70505
"Dell Latitude 5421 14"" Laptop i5-11400H@2.70 8GB RAM 256GB SSD BT BKLIT CAM FHD",6831.41301
"HP ELITEBOOK 745 G6 14"" AMD Ryzen 7 3700U 2.30GHz 16GB RAM 256GB NVMe",7044.90801
HP 14-DQ2053CL I3-1125G4@2.00GHZ 8GB RAM 256GB NVMe WIN-11H WCHARGER,7045.335
"Hometech Alfa 14.1"" Intel Celeron N4020 4 Gb Ram 128 Gb Ssd Windows 11 Taşınabilir Bilgisayar ( Hometech Türkiye Garantili)En Ucuz7.124,05 TLTEK FİYAT",7124.05
"Hometech Alfa 620C 14.1"" Intel N4020 4 Gb Ram 128 Gb Ssd W11 Taşınabilir Bilgisayar ( Hometech Türkiye Garantili)En Ucuz7.124,05 TLTEK FİYAT",7124.05
"ASUS Chromebook Plus CX3402CB 14"" FHD Touch Intel i3-1215U 8GB 128GBUFS ChromeOS",7130.732999999999
"Dell Latitude 5420 14"" Touch Laptop i5-1145G7 16GB RAM 256GB SSD Windows 11 Pro",7216.130999999999
"Lenovo ThinkPad E440 Notebook - 14'', i5 4. Nesil, 4 GB Ram, 240 GB SSDEn Ucuz7.235,31 TL+1 FİYATÜrüne Git (+1)",7235.31
"14"" HP EliteBook Laptop: Ryzen 5! 16GB RAM - 512GB SSD! Zorin Core Edition!",7256.695049999999
"HP EliteBook 845 G8 14"" AMD Ryzen 5 Pro 5650U 2.30GHz 16GB RAM 512GB SSD",7256.695049999999
"HP EliteBook 850 G5 15.6""  i5 1.60GHZ  16GB  256GB SSD",7258.40301
Dell Latitude 7400 14  FHD i5-8265U 1.60GHz 16GB RAM 256GB SSD Windows 11,7258.40301
"Dell Latitude 5420 14"" i5-1145G7 16GB RAM 256GB SSD W11 PRO - Silver (GRADE B)",7258.40301
"Acer Aspire 3 14""Notebook FHD Intel i3-N305 8GB RAM 128GB SSD 1.8GHz Refurbished",7258.40301
CHUWI Laptop 14'' HD Intel Celeron N4000 8GB 256GB SSD Webcam Windows 11 H,7258.40301
Lenovo ThinkPad T480s Touch Intel i5-8350U 1.70GHz 8GB RAM 256GB SSD GRADE A,7258.40301
DELL LATITUDE 5420 | CORE I5-1145G7 | 512GB | 16GB | NO OS/NO POWER ADAPTER,7258.40301
"Dell 14"" Laptop Computer PC Intel Celeron 8GB RAM 256GB SSD Windows 11 HDMI WiFi",7292.9892
"Hometech Alfa 620c Notebook Celeron 4ram 128gbEn Ucuz7.295,00 TLTEK FİYATÜrüne Git",7295.0
"I-Life Zed Air Cx3 Intel Core i3 5005U 1.1Ghz İşlemci 8Gb Ram 256Gb Ssd 15.6"" Windows 10 Home İşletim Sistemli Siyah Dizüstü Bilgisayar (Teşhir Ürünü)İkinci elEn Ucuz7.349,00 TL",7349.0
CHUWI Laptop 14.1'' HD Intel Celeron N4000 8GB 256GB SSD Webcam Windows 11 H,7429.19901
Dell Laptop Latitude 7410 Intel Core i5 10th Gen SSD 256GB Touch 2-in-1 Many,7471.89801
"HP ZBook 17"" G3 Laptop 17.3"" i7-6820HQ FHD 16GB 256GB NVMe + 500GB HDD M4000M",7471.89801
"HP EliteBook 840 G6 14"" Intel i7-8665U 16GB DDR4 500GB SSD W11P Laptop",7472.325
"Lenovo IdeaPad Flex 5 14"" FHD+ Chrome 14IAU7 Laptop i3-1315U 8GB RAM 256GB Ob A",7472.325
"Lenovo ThinkPad E570 Laptop 15.6"" Core i5-7200U 8GB 500GB CAM FPR DVD-RW WIN 10P",7514.59701
Toshiba Dynabook i7 10th Gen 512GB SSD 16GB Windows 11 Pro Wifi-6 HDMI Laptop,7557.723
"Lenovo Thinkpad C14 Gen 1 Chromebook 14"" i5-1245U 256GB SSD 8GB DDR4 Blue Good",7643.121
"HP 14"" Laptop UpTo 3.6 GHz Intel professor N150 16GB RAM 128eMMC -",7647.390899999999
"CHUWI- 14.1"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD-HDMI Gray",7650.80682
Dell Latitude 7490 Quad Core i5 8GB 128SSD Windows 11 **One Year Warranty**,7684.53903
Dell Precision 3560 Core i5-1135G7 2.40 GHz 8 GB NO SSD,7685.82
"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",7771.218
SONY VPCF2 İ7 İŞLEMCİLİ SSDLİ LAPTOPEn Ucuz,7800.0
"HOMETECH ALFA 750C NOTEBOOK 4/128GB GrayEn Ucuz%137.801,00 TL+1 FİYATÜrüne Git (+1)",7801.0
"Dell Latitude 14"" FHD Touch •i5 7th •8GB •512GB SSD •Win11 + Office Activated ✅",7899.315
CHUWI HeroBook Pro 14.1 Intel Celeron N4020 Windows 11 Laptop 256GB SSD 8GB RAM,7899.315
