itemId,title,price,currency,condition,conditionId,category,categoryId,imageUrl,sellerUsername,sellerFeedback,sellerPositivePercent,itemLocation,shippingPrice
v1|357885387535|0,"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD CX5400FM - w/Warranty",5349.75771,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/k~cAAeSwbTRpE1vC/s-l225.jpg,tekdeals,58821,,US,0.0
v1|389007675002|0,"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 512GB SSD, Business",8752.86801,USD,New,1000,,,https://i.ebayimg.com/images/g/ACsAAeSwAddo06a0/s-l225.jpg,dealtoyou,877,,US,0.0
v1|306608937085|0,Dell Latitude 3190 2-in-1  Pentium N5030 1.10GHz 8GB RAM 256GB SSD Win 11 Pro,3842.91,USD,Used,3000,,,https://i.ebayimg.com/images/g/SG0AAeSwo5ZpGzV-/s-l225.jpg,hawk_line,35229,,US,0.0
v1|116289144463|0,FHD Dell 2-in-1 Laptop PC: Intel i7-8650U! 16GB RAM ~ 256GB SSD! Windows 11!,9391.64505,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/k3YAAeSwPYppOEQH/s-l225.jpg,rinuvo,10364,,US,0.0
v1|197923532860|0,"HP - 15.6"" Touch-Screen Laptop - Intel Core i3 1315U 2023 - 8GB Memory - 256G...",14986.92201,USD,New,1000,,,https://i.ebayimg.com/images/g/v2EAAeSw-ctpP17m/s-l225.jpg,best_buy,909688,,US,0.0
v1|136449830789|0,"HP 14-ep2011wm 14"" HD N150 0.8GHz Intel UHD Graphics 4GB RAM 128GB SSD Win 11",5935.161,USD,Open box,1500,,,https://i.ebayimg.com/images/g/9YcAAeSw9pxpFdyu/s-l225.jpg,vipoutlet,567871,,US,0.0
v1|376733011268|0,Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD   BLUE,16604.78712,USD,Used,3000,,,https://i.ebayimg.com/images/g/NVAAAOSw8OFlCda4/s-l225.jpg,like-new-laptops,20773,,US,18.99
v1|376718756103|0,"SGIN 15.6"" Windows 11 Laptop 12GB RAM 1TB SSD Intel Celeron Portable Business PC",8496.67401,USD,New,1000,,,https://i.ebayimg.com/images/g/wnIAAeSwprdpIDpJ/s-l225.jpg,ysd_20_53,220,,US,0.0
v1|267048176882|0,"Acer Aspire 3 Laptop 15.6"" 16GB 1TB AMD Ryzen 5 7520U 2.8GHz Refurbished",10076.53701,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/rv4AAOSwZftnIRQW/s-l225.jpg,acer,92044,,US,0.0
v1|167668263463|0,"HP EliteBook 845 G8 14"" FHD AMD Ryzen 7 PRO 5850U 16GB 512GB SSD W11P Laptop, SL",11742.225,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/0dEAAeSwGtBpPzNK/s-l225.jpg,prycedin,75444,,US,0.0
v1|235711075450|0,"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",3791.6711999999998,USD,Used,3000,,,https://i.ebayimg.com/images/g/KMMAAOSwJlFmyVxM/s-l225.jpg,ticktock1-2-3,52795,,US,0.0
v1|336313392434|0,Dell Latitude E7470 Laptop i5-6300U 2.4GHz 8GB RAM 256GB SSD Win 11 Pro,3201.14403,USD,Used,3000,,,https://i.ebayimg.com/images/g/ANUAAeSwlnxo93qe/s-l225.jpg,tech_recycle_cle,2591,,US,0.0
v1|267047263565|0,"Acer 15.6""Chromebook 315 Laptop Intel Celeron N4500 4GB RAM 64GB SSD Refurbished",4554.275339999999,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/73AAAeSwI1ppHNTr/s-l225.jpg,acer,92044,,US,0.0
v1|256904160754|0,"Acer Swift 16"" AI Copilot+PC OLED Intel Ultra7 256V 16GB RAM 1TB SSD Refurbished",30363.2589,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/7YMAAeSwKUlpJOuK/s-l225.jpg,acer,92044,,US,0.0
v1|297837283264|0,Lenovo ThinkPad L470 Intel Core i3-7100U @ 2.40 GHz 8GB 128GB SSD Win 10 BIOS,2495.75655,USD,Used,3000,,,https://i.ebayimg.com/images/g/0EAAAeSw7jRpOzBc/s-l225.jpg,toyarcade,71936,,US,0.0
